course_crn,full_name,short_name,prerequisites
26516,Senior Research Thesis,BCBP-4990,[]
30388,,BCBP-6470,
28114,Methods in Biophysics,BCBP-6800,['BCBP-4760']
26729,Protein Structure Determination,BCBP-6870,"['BCBP-4760', 'MATH-1020', 'PHYS-1200']"
28115,Research Rotation,BCBP-6910,[]
26753,Readings in Biochemistry/Biophysics,BCBP-6940,[]
29766,,BCBP-6961,
30211,,BCBP-6962,
29929,,BCBP-6967,
29933,,BCBP-6968,
26997,Dissertation,BCBP-9990,[]
25601,Introduction to Biology,BIOL-1010,[]
27895,Introduction to Biology Laboratory,BIOL-1015,[]
28109,Introduction to Cell and Molecular Biology,BIOL-2120,[]
30220,Introduction to Geobiology,BIOL-2160,['ERTH-1100']
25873,Genetics and Evolution,BIOL-2500,['BIOL-2120']
26823,Research in Biology,BIOL-2900,[]
26064,Out-of-Classroom Experience in Biology,BIOL-2930,[]
28707,Investigative Medicine I,BIOL-4110,[]
27742,Biostatistics,BIOL-4200,"['BIOL-1010', 'MATH-1010']"
29720,Machine Learning for Environmental Biology,BIOL-4220,['BIOL-4200']
27151,Advanced Cell Biology,BIOL-4260,"['BIOL-2120', 'BIOL-4620', 'BIOL-4760']"
25603,Human Physiology,BIOL-4270,"['BIOL-2120', 'BIOL-4620', 'CHEM-2250', 'PHYS-1100']"
28016,Microbiology Lab,BIOL-4320,['BIOL-2500']
28015,Virology,BIOL-4350,"['BIOL-4620', 'BIOL-4310']"
30386,,BIOL-4470,
27153,Sequence Analysis,BIOL-4540,"['MATH-1020', 'BIOL-4620', 'CSCI-1200']"
26827,Molecular Biology II,BIOL-4630,"['BIOL-4620', 'BIOL-4760']"
25704,Molecular Biology Laboratory,BIOL-4720,"['BIOL-2120', 'BIOL-4620']"
29235,Advanced Cell Biology Laboratory,BIOL-4740,"['BIOL-2120', 'BIOL-2500']"
25604,Molecular Biochemistry I,BIOL-4760,"['CHEM-2250', 'BIOL-1010']"
25840,Readings in Biology,BIOL-4940,[]
29763,Human Population,BIOL-4961,"['BIOL-1010', 'MATH-1010']"
29926,,BIOL-4967,
29931,,BIOL-4968,
29934,,BIOL-4969,
27394,Non-thesis Research,BIOL-4970,[]
26515,Senior Research Thesis,BIOL-4990,[]
29721,Machine Learning for Environmental Biology,BIOL-6220,['BIOL-4200']
27152,Advanced Cell Biology,BIOL-6260,['BIOL-2120']
28780,Virology,BIOL-6350,"['BIOL-4620', 'BIOL-4310']"
28279,Sequence Analysis,BIOL-6410,"['MATH-1020', 'BIOL-4620', 'CSCI-1200']"
30387,,BIOL-6470,
27154,Biology Core Course I,BIOL-6510,[]
27395,Advanced Molecular Biology,BIOL-6690,[]
25896,Seminar in Biology,BIOL-6900,[]
26754,Readings in Biology,BIOL-6940,[]
29174,Current Topics: Cytoskeletal Research,BIOL-6960,"['BIOL-4260', 'BIOL-6260', 'BIOL-4100']"
29764,,BIOL-6961,
29364,,BIOL-6962,
29365,,BIOL-6963,
30210,,BIOL-6964,
26054,,BIOL-6965,
29308,,BIOL-6966,
29927,,BIOL-6967,
29930,,BIOL-6968,
29935,,BIOL-6969,
27477,Professional Project,BIOL-6970,[]
30392,,BIOL-6971,
26824,Master's Thesis,BIOL-6990,[]
26883,Dissertation,BIOL-9990,[]
28033,Biomaterials Science and Engineering,BMED-2100,[]
28035,Bioimaging and Bioinstrumentation,BMED-2300,['PHYS-1200']
27924,Biomechanics,BMED-2540,['ENGR-1100']
26755,Studies in Biomedical Engineering,BMED-2940,[]
29602,Topics in Biomedical Engineering,BMED-2960,[]
25619,Biomedical Engineering Laboratory,BMED-4010,"['BMED-2100', 'BMED-2300', 'BMED-2540']"
28962,Investigative Medicine I,BMED-4110,[]
28098,Modeling of Biomedical Systems,BMED-4200,"['MATH-2010', 'PHYS-1200']"
28099,Biomedical Product Development and Commercialization,BMED-4260,['ENGR-2050']
28851,Clinical Orthopaedics and Contemporary Research,BMED-4420,['BMED-4500']
29678,Biostatistics for Life Science Applications,BMED-4470,"['MATH-2010', 'ENGR-2600']"
29219,Advanced Systems Physiology,BMED-4500,['BIOL-2120']
28617,Biomechanics II,BMED-4540,['BMED-2540']
30286,Cell Biomechanics,BMED-4550,['BMED-2540']
27839,Biomedical Fluid Mechanics,BMED-4580,['ENGR-2250']
28661,Medical Imaging,BMED-4590,['BMED-2300']
29223,Biomedical Engineering Design,BMED-4600,['BMED-4260']
26756,Studies in Biomedical Engineering,BMED-4940,[]
28297,Topics in Biomedical Engineering,BMED-4960,[]
30323,,BMED-4961,
28852,Clinical Orthopaedics and Contemporary Research,BMED-6420,['BMED-4500']
30335,Drug and Gene Delivery,BMED-6450,['BMED-2100']
29679,Biostatistics for Life Science,BMED-6470,[]
30292,Cell Biomechanics,BMED-6550,['BMED-2540']
29733,Biomedical Fluid Mechanics,BMED-6580,['ENGR-2250']
28662,Medical Imaging,BMED-6590,['BMED-2300']
28116,Discussions in Graduate Research,BMED-6800,[]
26757,Studies in Biomedical Engineering,BMED-6940,[]
28298,Topics in Biomedical Engineering,BMED-6960,[]
29021,,BMED-6963,
29370,,BMED-6964,
29309,,BMED-6966,
27150,Professional Project,BMED-6970,[]
26903,Master's Project,BMED-6980,[]
27431,Master's Thesis,BMED-6990,[]
27617,Dissertation,BMED-9990,[]
27538,Chemistry I,CHEM-1100,[]
27017,Chemistry I with Advanced Lab,CHEM-1110,[]
28824,Materials Science,CHEM-1600,['CHEM-1100']
29351,,CHEM-1960,
26070,Equilibrium Chemistry and Quantitative Analysis,CHEM-2110,"['CHEM-1200', 'CHEM-1210']"
30421,Organic Chemistry Laboratory I,CHEM-2230,[]
30422,Organic Chemistry Laboratory II,CHEM-2240,"['CHEM-2230', 'CHEM-2260']"
25882,Organic Chemistry I,CHEM-2250,['CHEM-1100']
25985,Out-of-Classroom Experience in Chemistry,CHEM-2930,[]
29476,Special Projects in Chemistry,CHEM-2940,[]
26814,Undergraduate Research,CHEM-2950,[]
28545,Inorganic Chemistry II,CHEM-4010,"['CHEM-2030', 'CHEM-4410']"
26072,Experimental Chemistry III: Inorganic and Physical Methods,CHEM-4020,[]
30230,Instrumental Methods of Analysis,CHEM-4110,"['CHEM-2110', 'CHEM-2120']"
30319,Mass Spectrometry,CHEM-4130,"['PHYS-1200', 'MATH-1020']"
26071,Macroscopic Physical Chemistry,CHEM-4410,['MATH-2400']
29684,Microscopic Physical Chemistry,CHEM-4420,['MATH-2400']
29112,Physical Chemistry for Life Sciences,CHEM-4440,"['CHEM-1200', 'MATH-1010']"
25859,Modern Techniques in Chemistry,CHEM-4530,['CHEM-2250']
30391,Chemical Biology,CHEM-4710,[]
25615,Molecular Biochemistry I,CHEM-4760,"['CHEM-2250', 'BIOL-1010', 'BIOL-2120']"
25897,Professional Development Seminar,CHEM-4900,[]
26041,Senior Experience,CHEM-4950,[]
28352,Selected Topics in Chemistry,CHEM-4960,[]
28627,,CHEM-4962,
30233,,CHEM-4964,
26734,Senior Thesis,CHEM-4990,[]
30320,Mass Spectrometry,CHEM-6130,[]
29553,Advanced Organic Chemistry I,CHEM-6210,[]
30234,Electrochemistry,CHEM-6540,[]
28559,Chemical Biology,CHEM-6710,[]
29232,Biocatalysis: Fundamentals and Applications,CHEM-6750,[]
25809,Chemistry Seminar,CHEM-6900,[]
25616,Chemistry Teaching Seminar,CHEM-6910,[]
26759,Readings in Chemistry,CHEM-6940,[]
28117,Introduction to Research,CHEM-6950,[]
29371,,CHEM-6962,
29372,,CHEM-6963,
29311,,CHEM-6966,
27713,Masters Project,CHEM-6970,[]
27389,Master's Thesis,CHEM-6990,[]
25718,Dissertation,CHEM-9990,[]
27219,Introduction to Chemical Engineering,CHME-1010,[]
25691,"Material, Energy, and Entropy Balances",CHME-2010,[]
29685,Introduction to Computational Chemical Engineering,CHME-2050,['MATH-2400']
26760,Readings in Chemical Engineering,CHME-2940,[]
25808,Transport Phenomena I,CHME-4010,"['MATH-2400', 'CHME-2010']"
28902,Transport Phenomena II,CHME-4020,"['MATH-2400', 'CHME-4010']"
27404,Chemical Process Dynamics and Control,CHME-4030,"['CHME-2010', 'CHME-2050', 'MATH-2400']"
25866,Chemical Engineering Separations,CHME-4040,"['CHME-2020', 'CHME-4010', 'CHME-4020']"
25687,Chemical Engineering Laboratory I,CHME-4150,"['CHME-4010', 'CHME-4020', 'CHME-2020']"
27876,Introduction to Biochemical Engineering,CHME-4430,[]
28537,Single Molecules Complex Fluid,CHME-4480,['CHME-4020']
25706,Chemical Reactor Design,CHME-4500,"['CHME-2010', 'CHME-2020', 'CHME-4010', 'CHME-4020']"
26761,Readings in Chemical Engineering,CHME-4940,[]
29727,Topics in Chemical Engineering,CHME-4960,[]
30435,,CHME-4961,
28342,,CHME-4963,
30290,,CHME-4965,
26896,,CHME-4966,
30436,Advanced Membrane Concepts,CHME-6410,[]
27877,Biochemical Engineering,CHME-6430,[]
28538,Single Molecules Complex Fluid,CHME-6480,['CHME-4020']
25689,Chemical and Phase Equilibrium,CHME-6570,"['CHME-2020', 'MATH-2400']"
25690,Mathematical Methods in Chemical Engineering I,CHME-6610,['MATH-2400']
